date,post_text
2024-01-25,"La comida estuvo bien, como siempre."
2024-07-05,"Sabores incre铆bles, definitivamente regresar茅."
2024-08-11,"Sabores incre铆bles, definitivamente regresar茅."
2024-06-09,Excelente servicio y ambiente agradable 
2024-03-22,Una experiencia aceptable.
2024-02-03,Todo estuvo correcto.
2024-10-15,La experiencia fue decepcionante.
2024-10-31,"La comida estuvo deliciosa, volver茅 pronto!"
2024-08-19,Excelente servicio y ambiente agradable 
2024-11-11,"La comida estuvo deliciosa, volver茅 pronto!"
2024-11-21,Una experiencia aceptable.
2024-01-24,Una experiencia aceptable.
2024-05-03,Excelente servicio y ambiente agradable 
2024-01-28,El servicio fue promedio.
2024-09-26,Una experiencia aceptable.
2024-12-19,Todo estuvo correcto.
2024-02-25,Todo estuvo correcto.
2024-03-05,Excelente servicio y ambiente agradable 
2024-09-17,Precio alto para lo que ofrecen.
2024-10-26,La experiencia fue decepcionante.
2024-03-04,"La comida estuvo deliciosa, volver茅 pronto!"
2024-09-30,El servicio fue muy lento 
2024-09-29,"Muy mala atenci贸n, no volver茅."
2024-03-23,"La comida estuvo deliciosa, volver茅 pronto!"
2024-02-27,"Sabores incre铆bles, definitivamente regresar茅."
2024-10-10,La experiencia fue decepcionante.
2024-01-15,Precio alto para lo que ofrecen.
2024-08-03,"Muy mala atenci贸n, no volver茅."
2024-09-30,"La comida estuvo deliciosa, volver茅 pronto!"
2024-08-23,"La comida lleg贸 fr铆a, no me gust贸."
2024-08-14,"La comida estuvo bien, como siempre."
2024-03-17,"El lugar estuvo normal, nada especial."
2024-06-06,Precio alto para lo que ofrecen.
2024-02-07,"Todo estuvo perfecto, muy recomendado."
2024-07-05,Todo estuvo correcto.
2024-07-04,"Sabores incre铆bles, definitivamente regresar茅."
2024-02-20,"La comida estuvo bien, como siempre."
2024-12-04,"La comida estuvo bien, como siempre."
2024-05-29,"Muy mala atenci贸n, no volver茅."
2024-10-13,"La comida lleg贸 fr铆a, no me gust贸."
2024-11-03,"Muy mala atenci贸n, no volver茅."
2024-01-26,Una experiencia aceptable.
2024-03-02,La experiencia fue decepcionante.
2024-05-29,El servicio fue muy lento 
2024-11-18,"Muy mala atenci贸n, no volver茅."
2024-11-05,La mejor experiencia gastron贸mica que he tenido.
2024-08-27,La mejor experiencia gastron贸mica que he tenido.
2024-03-04,"La comida estuvo bien, como siempre."
2024-11-27,Todo estuvo correcto.
2024-04-11,La experiencia fue decepcionante.
2024-12-12,Precio alto para lo que ofrecen.
2024-02-11,El servicio fue muy lento 
2024-04-07,El servicio fue promedio.
2024-11-27,"El lugar estuvo normal, nada especial."
2024-03-15,Precio alto para lo que ofrecen.
2024-11-25,Precio alto para lo que ofrecen.
2024-10-01,La mejor experiencia gastron贸mica que he tenido.
2024-01-16,Excelente servicio y ambiente agradable 
2024-01-21,La experiencia fue decepcionante.
2024-10-13,El servicio fue promedio.
2024-03-15,"Todo estuvo perfecto, muy recomendado."
2024-08-18,Una experiencia aceptable.
2024-08-15,Precio alto para lo que ofrecen.
2024-11-27,"La comida lleg贸 fr铆a, no me gust贸."
2024-01-23,"La comida estuvo deliciosa, volver茅 pronto!"
2024-04-22,"La comida lleg贸 fr铆a, no me gust贸."
2024-04-14,Todo estuvo correcto.
2024-10-03,Precio alto para lo que ofrecen.
2024-04-04,Excelente servicio y ambiente agradable 
2024-05-22,La experiencia fue decepcionante.
2024-12-17,"Muy mala atenci贸n, no volver茅."
2024-04-16,El servicio fue muy lento 
2024-10-31,"Sabores incre铆bles, definitivamente regresar茅."
2024-06-14,"Todo estuvo perfecto, muy recomendado."
2024-05-07,"La comida estuvo bien, como siempre."
2024-01-11,"La comida lleg贸 fr铆a, no me gust贸."
2024-05-31,Excelente servicio y ambiente agradable 
2024-07-09,"Sabores incre铆bles, definitivamente regresar茅."
2024-01-01,"La comida estuvo deliciosa, volver茅 pronto!"
2024-08-18,Excelente servicio y ambiente agradable 
2024-01-29,"Sabores incre铆bles, definitivamente regresar茅."
2024-05-20,El servicio fue promedio.
2024-10-05,Una experiencia aceptable.
2024-04-26,La mejor experiencia gastron贸mica que he tenido.
2024-09-22,El servicio fue promedio.
2024-07-15,"Muy mala atenci贸n, no volver茅."
2024-11-19,"El lugar estuvo normal, nada especial."
2024-12-25,"Sabores incre铆bles, definitivamente regresar茅."
2024-07-25,El servicio fue promedio.
2024-07-23,El servicio fue muy lento 
2024-12-07,Todo estuvo correcto.
2024-02-19,Excelente servicio y ambiente agradable 
2024-02-15,Una experiencia aceptable.
2024-07-06,"El lugar estuvo normal, nada especial."
2024-07-03,Excelente servicio y ambiente agradable 
2024-09-29,Todo estuvo correcto.
2024-05-14,Precio alto para lo que ofrecen.
2024-07-09,Todo estuvo correcto.
2024-05-19,"La comida estuvo deliciosa, volver茅 pronto!"
2024-02-11,Todo estuvo correcto.
2024-12-05,El servicio fue promedio.
2024-02-26,Excelente servicio y ambiente agradable 
2024-03-19,Excelente servicio y ambiente agradable 
2024-12-19,El servicio fue muy lento 
2024-10-17,"Muy mala atenci贸n, no volver茅."
2024-08-18,Excelente servicio y ambiente agradable 
2024-09-06,"La comida estuvo bien, como siempre."
2024-02-01,Excelente servicio y ambiente agradable 
2024-02-09,El servicio fue promedio.
2024-11-19,El servicio fue promedio.
2024-08-30,"Muy mala atenci贸n, no volver茅."
2024-09-25,"La comida lleg贸 fr铆a, no me gust贸."
2024-05-12,Precio alto para lo que ofrecen.
2024-05-20,"La comida estuvo bien, como siempre."
2024-03-03,La experiencia fue decepcionante.
2024-02-04,Todo estuvo correcto.
2024-09-17,"Sabores incre铆bles, definitivamente regresar茅."
2024-12-20,"La comida estuvo deliciosa, volver茅 pronto!"
2024-12-07,El servicio fue promedio.
2024-09-17,"La comida estuvo bien, como siempre."
2024-06-11,El servicio fue muy lento 
2024-04-19,Precio alto para lo que ofrecen.
2024-12-29,El servicio fue promedio.
2024-01-15,"La comida lleg贸 fr铆a, no me gust贸."
2024-06-21,"Sabores incre铆bles, definitivamente regresar茅."
2024-07-18,Excelente servicio y ambiente agradable 
2024-03-13,"Sabores incre铆bles, definitivamente regresar茅."
2024-01-28,"La comida estuvo deliciosa, volver茅 pronto!"
2024-05-05,"Muy mala atenci贸n, no volver茅."
2024-06-05,"Sabores incre铆bles, definitivamente regresar茅."
2024-12-26,"El lugar estuvo normal, nada especial."
2024-01-14,"La comida lleg贸 fr铆a, no me gust贸."
2024-11-30,"La comida lleg贸 fr铆a, no me gust贸."
2024-06-21,El servicio fue promedio.
2024-08-22,La mejor experiencia gastron贸mica que he tenido.
2024-11-04,"La comida estuvo bien, como siempre."
2024-06-29,"Sabores incre铆bles, definitivamente regresar茅."
2024-07-22,"La comida estuvo bien, como siempre."
2024-06-15,El servicio fue muy lento 
2024-11-23,"La comida estuvo deliciosa, volver茅 pronto!"
2024-03-14,Excelente servicio y ambiente agradable 
2024-01-15,"Muy mala atenci贸n, no volver茅."
2024-01-24,"La comida estuvo deliciosa, volver茅 pronto!"
2024-01-02,"Todo estuvo perfecto, muy recomendado."
2024-08-04,El servicio fue muy lento 
2024-09-05,Precio alto para lo que ofrecen.
2024-12-28,"Muy mala atenci贸n, no volver茅."
2024-11-30,"Sabores incre铆bles, definitivamente regresar茅."
2024-02-02,"Muy mala atenci贸n, no volver茅."
2024-03-12,El servicio fue muy lento 
2024-06-14,El servicio fue promedio.
2024-04-02,El servicio fue muy lento 
2024-06-11,"Sabores incre铆bles, definitivamente regresar茅."
2024-03-21,Excelente servicio y ambiente agradable 
2024-12-07,"El lugar estuvo normal, nada especial."
2024-01-19,"La comida estuvo deliciosa, volver茅 pronto!"
2024-05-15,"La comida estuvo deliciosa, volver茅 pronto!"
2024-12-25,"La comida estuvo deliciosa, volver茅 pronto!"
2024-12-20,Precio alto para lo que ofrecen.
2024-06-23,"El lugar estuvo normal, nada especial."
2024-10-14,"Muy mala atenci贸n, no volver茅."
2024-11-28,"El lugar estuvo normal, nada especial."
2024-10-17,"La comida lleg贸 fr铆a, no me gust贸."
2024-08-18,Todo estuvo correcto.
2024-02-24,Excelente servicio y ambiente agradable 
2024-03-10,El servicio fue muy lento 
2024-07-19,"Todo estuvo perfecto, muy recomendado."
2024-12-16,La experiencia fue decepcionante.
2024-03-04,La experiencia fue decepcionante.
2024-09-03,Precio alto para lo que ofrecen.
2024-07-11,La mejor experiencia gastron贸mica que he tenido.
2024-01-16,"El lugar estuvo normal, nada especial."
2024-01-04,Todo estuvo correcto.
2024-08-02,Precio alto para lo que ofrecen.
2024-02-25,Una experiencia aceptable.
2024-02-26,La experiencia fue decepcionante.
2024-12-31,La experiencia fue decepcionante.
2024-08-27,"La comida lleg贸 fr铆a, no me gust贸."
2024-06-20,La experiencia fue decepcionante.
2024-12-28,"Muy mala atenci贸n, no volver茅."
2024-04-23,La mejor experiencia gastron贸mica que he tenido.
2024-05-26,"El lugar estuvo normal, nada especial."
2024-10-31,"Todo estuvo perfecto, muy recomendado."
2024-04-30,La mejor experiencia gastron贸mica que he tenido.
2024-12-20,"La comida estuvo bien, como siempre."
2024-10-30,"La comida estuvo bien, como siempre."
2024-01-06,"Muy mala atenci贸n, no volver茅."
2024-09-28,La mejor experiencia gastron贸mica que he tenido.
2024-08-26,"Todo estuvo perfecto, muy recomendado."
2024-02-11,"La comida lleg贸 fr铆a, no me gust贸."
2024-08-27,"Todo estuvo perfecto, muy recomendado."
2024-05-19,Precio alto para lo que ofrecen.
2024-03-04,El servicio fue promedio.
2024-09-01,Una experiencia aceptable.
2024-06-15,"Muy mala atenci贸n, no volver茅."
2024-02-07,"La comida estuvo deliciosa, volver茅 pronto!"
2024-12-30,La experiencia fue decepcionante.
2024-07-01,"Sabores incre铆bles, definitivamente regresar茅."
2024-11-02,"Sabores incre铆bles, definitivamente regresar茅."
2024-02-20,"La comida estuvo deliciosa, volver茅 pronto!"
2024-03-14,"El lugar estuvo normal, nada especial."
2024-07-02,El servicio fue muy lento 
2024-04-04,El servicio fue promedio.
2024-07-06,"La comida estuvo bien, como siempre."
2024-04-13,"Todo estuvo perfecto, muy recomendado."
2024-07-11,"El lugar estuvo normal, nada especial."
2024-12-19,"Muy mala atenci贸n, no volver茅."
2024-08-25,La experiencia fue decepcionante.
2024-03-20,Excelente servicio y ambiente agradable 
2024-04-28,La experiencia fue decepcionante.
2024-12-03,"Sabores incre铆bles, definitivamente regresar茅."
2024-07-09,Una experiencia aceptable.
2024-08-13,Precio alto para lo que ofrecen.
2024-05-11,"Sabores incre铆bles, definitivamente regresar茅."
2024-09-06,La experiencia fue decepcionante.
2024-01-17,Excelente servicio y ambiente agradable 
2024-05-01,"El lugar estuvo normal, nada especial."
2024-07-07,"Sabores incre铆bles, definitivamente regresar茅."
2024-04-21,La mejor experiencia gastron贸mica que he tenido.
2024-02-18,El servicio fue promedio.
2024-08-20,"La comida estuvo bien, como siempre."
2024-02-02,El servicio fue muy lento 
2024-11-04,Excelente servicio y ambiente agradable 
2024-01-21,"La comida lleg贸 fr铆a, no me gust贸."
2024-01-03,"Todo estuvo perfecto, muy recomendado."
2024-02-09,"La comida estuvo bien, como siempre."
2024-01-21,Excelente servicio y ambiente agradable 
2024-10-24,El servicio fue promedio.
2024-12-28,"Sabores incre铆bles, definitivamente regresar茅."
2024-04-20,El servicio fue promedio.
2024-06-07,Excelente servicio y ambiente agradable 
2024-10-12,El servicio fue muy lento 
2024-03-14,El servicio fue muy lento 
2024-08-16,"Muy mala atenci贸n, no volver茅."
2024-06-24,"Sabores incre铆bles, definitivamente regresar茅."
2024-01-22,El servicio fue muy lento 
2024-12-13,El servicio fue muy lento 
2024-03-25,Una experiencia aceptable.
2024-08-03,El servicio fue muy lento 
2024-12-07,"Sabores incre铆bles, definitivamente regresar茅."
2024-12-17,El servicio fue muy lento 
2024-02-29,"La comida estuvo bien, como siempre."
2024-05-17,La mejor experiencia gastron贸mica que he tenido.
2024-11-22,La mejor experiencia gastron贸mica que he tenido.
2024-10-22,"La comida estuvo bien, como siempre."
2024-06-13,"El lugar estuvo normal, nada especial."
2024-03-02,La experiencia fue decepcionante.
2024-09-16,"Muy mala atenci贸n, no volver茅."
2024-12-05,Todo estuvo correcto.
2024-02-28,"La comida estuvo bien, como siempre."
2024-07-18,"La comida estuvo bien, como siempre."
2024-12-29,"Muy mala atenci贸n, no volver茅."
2024-04-19,Excelente servicio y ambiente agradable 
2024-01-18,La mejor experiencia gastron贸mica que he tenido.
2024-08-16,"La comida lleg贸 fr铆a, no me gust贸."
2024-01-10,La mejor experiencia gastron贸mica que he tenido.
2024-02-28,"El lugar estuvo normal, nada especial."
2024-12-31,"El lugar estuvo normal, nada especial."
2024-04-20,"La comida estuvo deliciosa, volver茅 pronto!"
2024-02-17,Una experiencia aceptable.
2024-11-22,"Sabores incre铆bles, definitivamente regresar茅."
2024-04-01,"La comida estuvo deliciosa, volver茅 pronto!"
2024-11-27,La experiencia fue decepcionante.
2024-06-08,La mejor experiencia gastron贸mica que he tenido.
2024-02-09,"La comida estuvo bien, como siempre."
2024-08-21,"Todo estuvo perfecto, muy recomendado."
2024-12-21,Precio alto para lo que ofrecen.
2024-11-22,El servicio fue promedio.
2024-09-29,El servicio fue promedio.
2024-12-23,El servicio fue muy lento 
2024-06-20,"Muy mala atenci贸n, no volver茅."
2024-07-01,La experiencia fue decepcionante.
2024-03-05,Todo estuvo correcto.
2024-10-22,Una experiencia aceptable.
2024-02-17,Precio alto para lo que ofrecen.
2024-10-21,"Todo estuvo perfecto, muy recomendado."
2024-01-19,La mejor experiencia gastron贸mica que he tenido.
2024-07-27,Excelente servicio y ambiente agradable 
2024-02-03,Todo estuvo correcto.
2024-02-21,"Sabores incre铆bles, definitivamente regresar茅."
2024-05-03,El servicio fue promedio.
2024-02-29,El servicio fue promedio.
2024-11-24,La experiencia fue decepcionante.
2024-05-13,Precio alto para lo que ofrecen.
2024-04-01,Una experiencia aceptable.
2024-11-26,La mejor experiencia gastron贸mica que he tenido.
2024-04-21,"La comida estuvo bien, como siempre."
2024-05-03,"La comida estuvo bien, como siempre."
2024-07-05,Precio alto para lo que ofrecen.
2024-08-02,Excelente servicio y ambiente agradable 
2024-08-21,"Sabores incre铆bles, definitivamente regresar茅."
2024-02-10,La mejor experiencia gastron贸mica que he tenido.
2024-08-12,"Todo estuvo perfecto, muy recomendado."
2024-10-17,"La comida estuvo bien, como siempre."
2024-07-29,"El lugar estuvo normal, nada especial."
2024-09-08,"La comida estuvo bien, como siempre."
2024-08-01,Todo estuvo correcto.
2024-02-14,El servicio fue promedio.
2024-09-08,Excelente servicio y ambiente agradable 
2024-05-14,"La comida estuvo bien, como siempre."
